key,Coffee,Calories,Caffèine (mg),price per mg of caffeine,serving size (ml),caffeine per ml,category,price ($),price (Qr),Coffee chain,contents / note,"sources: Starbucks Beverage Nutrition Guide, VeryWell calorie database, EatThisMuch. Values are based on standard/medium serving sizes. ",https://www.starbucks.com/menu/catalog/nutrition?drink=all#view_control=nutrition&drink=iced-coffee&drink=iced-tea&drink=brewed-coffee&drink=chocolate&drink=espresso&drink=frappuccino-blended-beverages,http://caloriecount.about.com/,https://news.starbucks.com/uploads/documents/nutrition.pdf,https://www.eatthismuch.com
82,Coffee Ice Cream ,540,48,0.06,,,NON-DRINK,2.7,,Haagen-Dazs,8oz,,,,,
81,Mellow Chocolate ,480,25,0.23,,,CHOCOLATE,5.8,21,Tuile Coffee Shop,hot chocolate with marshmallow cubes,,,,,
80,1882,460,150,0.05,,,CHOCOLATE,7,24,Caffè Vergnano 1882,"hot chocolate, espresso and double cream",,,,,
79,Frozen Chocolate ,460,25,0.24,,,CHOCOLATE,6.05,22,Caffè Vergnano 1882,"cold chocolate, ice, sugar & whipped cream",,,,,
78,Caffè Mocha ,430,150,0.04,,,COFFEE,6.05,22,Caffè Vergnano 1882,"espresso, hot chocolate, milk & whipped cream",,,,,
77,White Mocha ,430,65,0.09,,,COFFEE,6.05,22,Caffè Vergnano 1882,"espresso, white chocolate, milk & whipped cream",,,,,
76,Spanish Blend ,425,25,0.24,,,COFFEE,6.05,22,Tuile Coffee Shop,hot chocolate with vanilla cream,,,,,
75,Caramel Sticky Mocha ,420,110,0.05,,,COFFEE,5.2,19,Paul Café,"chocolate frappé, caramel syrup, milk, espresso",,,,,
74,Mocha Chocolate Chip Frappuccino ,420,15,0.42,,,COFFEE,6.3,23,Starbucks Qatar,with whipped cream,,,,,
72,Caramel Frappuccino,410,100,0.06,,,COFFEE,5.5,20,Starbucks Qatar,with whipped cream,,,,,
73,Frappuccino ,410,110,0.06,,,COFFEE,6.05,22,Caffè Vergnano 1882,"ice, cold chocolate, milk, espresso, sugar syrup & whipped cream",,,,,
70,Signature Hot Chocolate ,400,25,0.21,,,CHOCOLATE,5.2,19,Starbucks Qatar,with whipped cream,,,,,
71,Vanilla Cream Frappuccino ,400,65,0.10,,,COFFEE,6.3,23,Starbucks Qatar,with espresso shot & whipped cream,,,,,
69,Choccolino ,385,65,0.09,,,CHOCOLATE,6.05,22,Caffè Vergnano 1882,"chocolate ice cream, ice, milk & espresso",,,,,
66,Ghana-Java Hot Chocolate ,380,25,0.24,,,CHOCOLATE,6.05,22,Tuile Coffee Shop,"caramel, vanilla, hazelnut",,,,,
67,Orange Zest Hot Chocolate,380,25,0.28,,,CHOCOLATE,7,24,Tuile Coffee Shop,,,,,,
68,Rose Hot Chocolate,380,25,0.28,,,CHOCOLATE,7,24,Tuile Coffee Shop,,,,,,
65,Vanillino ,375,65,0.09,,,COFFEE,6.05,22,Caffè Vergnano 1882,"vanilla ice cream, ice, milk & espresso",,,,,
64,Marocchino Speciale ,363,90,0.07,,,COFFEE,6.05,22,Caffè Vergnano 1882,"hot chocolate, espresso with hot milk froth & chocolate powder",,,,,
63,Marocchino Speciale,360,175,0.03,,,COFFEE,5.2,19,Starbucks Qatar,"espresso, hot chocolate, milk & whipped cream",,,,,
62,Nocciolino ,327,65,0.09,,,COFFEE,6.05,22,Caffè Vergnano 1882,"hazelnut sauce, espresso, whipped cream & walnuts",,,,,
60,Signature Hot Chocolate ,320,25,0.21,,,CHOCOLATE,5.2,19,Starbucks Qatar,,,,,,
61,Spiced Hot Chocolate ,320,25,0.24,,,CHOCOLATE,6.05,22,Tuile Coffee Shop,"chilli, nutmeg, pepper, cinnamon",,,,,
59,Mountain Dew,290,91,0.01,,,SOFT DRINK,1,,,bottle,,,,,
58,Caramel Frappuccino ,280,100,0.06,,,COFFEE,5.5,20,Starbucks Qatar,,,,,,
57,Cremino ,276,65,0.09,,,COFFEE,6.05,22,Caffè Vergnano 1882,"ice cream, ice, shaken espresso",,,,,
56,Bananino ,268,65,0.09,,,COFFEE,6.05,22,Caffè Vergnano 1882,"banana, ice, milk, sugar & espresso",,,,,
55,Lucozade,266,46,0.02,,,SOFT DRINK,1,,,bottle,,,,,
54,Torroncino ,256,90,0.07,,,COFFEE,6.05,22,Caffè Vergnano 1882,"nougat, espresso, whipped cream & chocolate powder",,,,,
53,Caramel Macchiato ,250,150,0.03,,,COFFEE,5.2,19,Starbucks Qatar,,,,,,
52,Cinnamon Vanilla Latté ,250,150,0.03,,,COFFEE,5.2,19,Paul Café,"latte, vanilla syrup, cinnamon powder",,,,,
51,Iced Caramel Macchiato ,250,150,0.03,,,COFFEE,5.2,19,Starbucks Qatar,,,,,,
50,Chai Latte ,240,95,0.05,,,TEA,5.2,19,Starbucks Qatar,,,,,,
49,Green Tea Latte ,240,80,0.07,,,TEA,5.2,19,Starbucks Qatar,,,,,,
48,Caffè Mocha ,220,195,0.02,,,COFFEE,4.1,15,Starbucks Qatar,,,,,,
47,Dark Chocolate Bar ,205,42,0.03,,,NON-DRINK,1.1,,Green & Blacks,35g,,,,,
46,Viennese ,200,150,0.04,,,COFFEE,5.5,20,Caffè Vergnano 1882,cappuccino with whipped cream,,,,,
45,West African Dark Hot Chocolate,200,25,0.24,,,CHOCOLATE,6.05,22,Tuile Coffee Shop,,,,,,
44,Caffè Latte ,190,150,0.03,,,COFFEE,4.65,17,Starbucks Qatar,,,,,,
43,Cioccolata ,181,25,0.20,,,CHOCOLATE,4.95,18,Caffè Vergnano 1882,,,,,,
42,Caramella Freddo ,165,65,0.09,,,COFFEE,6.05,22,Caffè Vergnano 1882,"ice, milk, caramel sauce & espresso",,,,,
40,Coke ,150,32,0.03,,,SOFT DRINK,1,,,"1 can, 330ml",,,,,
