Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Haiti,HTI,2018,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,5688270710.36727
Haiti,HTI,2017,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,4695970930.66437
Haiti,HTI,2016,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,4221499294.23047
Haiti,HTI,2015,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,4517579401.92254
Haiti,HTI,2014,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,4767746435.68803
Haiti,HTI,2013,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,4457607255.58231
Haiti,HTI,2012,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,4199308308.93662
Haiti,HTI,2011,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,4436681862.36057
Haiti,HTI,2010,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,4297737219.20725
Haiti,HTI,2009,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,2822545049.43952
Haiti,HTI,2008,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,2876253670.84959
Haiti,HTI,2007,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,2404040000
Haiti,HTI,2006,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,2155780000
Haiti,HTI,2005,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,1887920000
Haiti,HTI,2004,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,1573890000
Haiti,HTI,2003,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,1431270000
Haiti,HTI,2002,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,1263710000
Haiti,HTI,2001,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,1325360000
Haiti,HTI,2000,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,1377910000
Haiti,HTI,1999,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,1264730000
Haiti,HTI,1998,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,1051560000
Haiti,HTI,1997,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,904700000
Haiti,HTI,1996,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,791840000
Haiti,HTI,1995,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,832300000
Haiti,HTI,1994,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,246580000
Haiti,HTI,1993,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,303300000
Haiti,HTI,1992,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,260640000
Haiti,HTI,1991,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,551900000
Haiti,HTI,1990,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,539700000
Haiti,HTI,1989,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,478318170.45547
Haiti,HTI,1988,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,514344936.7672
Haiti,HTI,1987,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,527800622.395
Haiti,HTI,1986,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,493376982.476094
Haiti,HTI,1985,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,581979641.010037
Haiti,HTI,1984,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,549520000.045793
Haiti,HTI,1983,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,516119988.613224
Haiti,HTI,1982,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,488700000.09774
Haiti,HTI,1981,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,533800000.10676
Haiti,HTI,1980,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,498360000.099672
Haiti,HTI,1979,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,343960000.068792
Haiti,HTI,1978,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,325800000.06516
Haiti,HTI,1977,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,276400000.05528
Haiti,HTI,1976,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,219580000.043916
Haiti,HTI,1975,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,166860000.033372
Haiti,HTI,1974,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,138739884.959884
Haiti,HTI,1973,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,100559999.932517
Haiti,HTI,1972,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,85239685.8950037
Haiti,HTI,1971,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,78940000.015788
Haiti,HTI,2018,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-342991166.731597
Haiti,HTI,2017,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-265013110.347812
Haiti,HTI,2016,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-72459348.3435013
Haiti,HTI,2015,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-270775987.476313
Haiti,HTI,2014,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-750652437.396936
Haiti,HTI,2013,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-560837855.998653
Haiti,HTI,2012,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-431148219.822783
Haiti,HTI,2011,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-323623966.85515
Haiti,HTI,2010,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-101824279.161843
Haiti,HTI,2009,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-122185676.878835
Haiti,HTI,2008,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-204814583.793969
Haiti,HTI,2007,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-85773000
Haiti,HTI,2006,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-85029000
Haiti,HTI,2005,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,7048000
Haiti,HTI,2004,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-62380000
Haiti,HTI,2003,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-44780000
Haiti,HTI,2002,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-88950000
Haiti,HTI,2001,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-131900000
Haiti,HTI,2000,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-114210000
Haiti,HTI,1999,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-59820000
Haiti,HTI,1998,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,28710000
Haiti,HTI,1997,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-47700000
Haiti,HTI,1996,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-137720000
Haiti,HTI,1995,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-87070000
Haiti,HTI,1994,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-23390000
Haiti,HTI,1993,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-11830000
Haiti,HTI,1992,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,7260000
Haiti,HTI,1991,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-91520000
Haiti,HTI,1990,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-21900000
Haiti,HTI,1989,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-62658170.4554701
