date,budgetYear,description,amountUSD,srcOrganization,srcOrganizationTypes,srcLocations,srcUsageYearStart,srcUsageYearEnd,destPlan,destPlanCode,destPlanId,destOrganization,destOrganizationTypes,destGlobalClusters,destLocations,destProject,destProjectCode,destEmergency,destUsageYearStart,destUsageYearEnd,contributionType,flowType,method,boundary,onBoundary,status,firstReportedDate,decisionDate,keywords,originalAmount,originalCurrency,exchangeRate,id,refCode,createdAt,updatedAt
#date,#date+year+budget,#description+notes,#value+funding+total+usd,#org+name+funder,#org+type+funder+list,#country+iso3+funder+list,#date+year+start+funder,#date+year+end+funder,#activity+appeal+name,#activity+appeal+id+external,#activity+appeal+id+fts_internal,#org+name+impl,#org+type+impl+list,#sector+cluster+name+list,#country+iso3+impl+list,#activity+project+name,#activity+project+code,#crisis+name,#date+year+start+impl,#date+year+end+impl,#financial+contribution+type,#financial+contribution+type,#financial+method,#financial+direction,#financial+direction+type,#status+text,#date+reported,#date+decision,#description+keywords,#value+funding+total,#value+funding+total+currency,#financial+fx,#activity+id+fts_internal,#activity+code,#date+created,#date+updated
2020-02-17,2019,Réponse d’urgence aux besoins essentiels des ménages en insécurité alimentaire les plus vulnérables de la Grande Anse (ECHO/-AM/BUD/2019/91049),1653804,European Commission's Humanitarian Aid and Civil Protection Department,Inter-governmental,,2019,2019,Haiti 2020,HHTI20,920,Solidarités International,NGO,Food Security,HTI,,,,2020,2020,financial,Standard,Traditional aid,incoming,single,commitment,2020-02-18,2020-02-17,,1500000.0,EUR,0.907,205253,ECHO/-AM/BUD/2019/91049,2020-02-19,2020-03-04
2020-02-14,,"Seed distribution, Seed fairs and forage production in 3 municipalities in North East",500000,"Belgium, Government of",Government,BEL,2020,2020,Haiti 2020,HHTI20,920,Food & Agriculture Organization of the United Nations,UN agency,Food Security,HTI,,,,2020,2020,financial,Standard,Traditional aid,incoming,single,paid,2020-02-14,2020-02-14,,,,,205101,,2020-02-17,2020-03-04
2020-01-31,2020,In-Kind: Food Security (USAID/FFP),3997913,"United States of America, Government of",Government,USA,2020,2020,Haiti 2020,HHTI20,920,World Food Programme,UN agency,Food Security,HTI,,,,2020,2020,in kind,Standard,Traditional aid,incoming,single,commitment,2020-02-10,2020-01-31,USAID/FFP,,,,205456,72DFFP20IO00025	Base,2020-02-21,2020-03-04
2020-01-31,,"WFP Haiti Supply Chain Response: Protecion, access and security (7F-10414.01)",256410,"Switzerland, Government of",Government,CHE,2020,2020,,,,World Food Programme,UN agency,Protection,HTI,,,,2020,2020,financial,Standard,Traditional aid,incoming,single,commitment,2020-02-04,,,250000.0,CHF,0.975,204770,7F-10414.01,2020-02-12,2020-02-12
2020-01-10,2020,Program Support (USAID/OFDA),3711,"United States of America, Government of",Government,USA,2020,2020,,,,,,Coordination and support services,HTI,,,,2020,2020,financial,Standard,Traditional aid,incoming,single,commitment,2020-01-10,,USAID/OFDA,,,,203855,,2020-01-13,2020-01-13
2020-01-10,2020,Food Security ( USAID/FFP),2184634,"United States of America, Government of",Government,USA,2020,2020,Haiti 2020,HHTI20,920,World Food Programme,UN agency,Food Security,HTI,,,,2020,2020,financial,Standard,Traditional aid,incoming,single,commitment,2020-01-10,,USAID/FFP,,,,203845,AID-FFP-IO-17-00062 MOD 4,2020-01-13,2020-03-04
2020-01-08,2020,"Logistics Support and Relief Commodities,Humanitarian Coordination and Info Management (USAID/OFDA)",1000000,"United States of America, Government of",Government,USA,2020,2020,Haiti 2020,HHTI20,920,World Food Programme,UN agency,Logistics,HTI,,,,2020,2020,financial,Standard,Traditional aid,incoming,single,commitment,2020-02-10,2020-01-08,USAID/OFDA,,,,205428,720FDA20IO00007,2020-02-21,2020-03-04
2019-12-12,2020,"-,Action A: Man made crisis and natural disasters,Action C: DIPECHO - HAITI (ECHO/-AM/BUD/2020/91000)",5580357,European Commission's Humanitarian Aid and Civil Protection Department,Inter-governmental,,2020,2020,,,,,,,HTI,,,,2020,2020,financial,Parked,Traditional aid,incoming,single,commitment,2020-02-03,2019-12-12,,5000000.0,EUR,0.896,204327,ECHO/-AM/BUD/2020/91000,2020-02-04,2020-02-06
2019-07-17,2019,"Sustainable Resilience of the rural Population of the municipalities Petit-Goave, Grand Goave, Leogane, Departement Ouest, Fonds des Negres, Departement Nippes, Haiti Multi year - BMZ - 2019 - 2020",0,"Germany, Government of",Government,DEU,2019,2019,,,,Arbeiter-Samariter-Bund Deutschland e.V,NGO,,HTI,,,,2019,2020,financial,Parked,Traditional aid,incoming,shared,commitment,2019-07-17,2019-07-17,Multiyear,0.0,EUR,0.914,195587,201618396,2019-07-18,2019-10-30
